,Treatment,Label,newID,Turn_angle,Meander_mean,Ang_Velocity,Rotation_CW,Rotation_CCW
289,Vehicle,Dark2,Trial     5_B1,110.4315,42.81039,2760.785,5,6.6
290,Vehicle,Dark2,Trial     5_B2,98.60328,35.61005,2465.081,2.4,3.5
291,Vehicle,Dark2,Trial     5_B4,109.12474,46.79159,2728.114,2.3,1.7
292,Vehicle,Dark2,Trial     6_A3,109.39949,45.43035,2734.985,2.7,4
293,Vehicle,Dark2,Trial     6_C1,98.83521,28.35411,2470.88,8.2,9.4
294,Vehicle,Dark2,Trial     6_C2,95.35052,29.4999,2383.761,4.7,5.7
295,Vehicle,Dark3,Trial     1_A1,119.0284,68.90452,2975.712,0.1,0.1
296,Vehicle,Dark3,Trial     1_A2,119.5498,67.40333,2988.749,0,0
297,Vehicle,Dark3,Trial     1_C3,121.4953,65.71559,3037.381,0.1,0
298,Vehicle,Dark3,Trial     2_A4,120.4969,33.91847,3012.421,7.4,8.7
299,Vehicle,Dark3,Trial     2_B2,119.7539,28.84102,2993.85,3.5,4.2
300,Vehicle,Dark3,Trial     2_C3,118.1647,32.85436,2954.118,11,13.8
301,Vehicle,Dark3,Trial     3_A2,122.1433,54.02524,3053.578,7.9,8.9
302,Vehicle,Dark3,Trial     3_B3,110.8415,39.84041,2771.035,5.6,5.6
303,Vehicle,Dark3,Trial     4_B1,120.0815,49.50119,3002.041,1.1,1.5
304,Vehicle,Dark3,Trial     5_B1,107.58661,44.06625,2689.662,3,3.1
305,Vehicle,Dark3,Trial     5_B2,120.2186,50.18663,3005.466,0.3,0.2
306,Vehicle,Dark3,Trial     5_B4,110.25746,41.07468,2756.432,5.3,4.3
307,Vehicle,Dark3,Trial     6_A3,105.82726,39.09252,2645.681,5.4,6.5
308,Vehicle,Dark3,Trial     6_C1,96.71523,23.835523,2417.881,10.3,9.4
309,Vehicle,Dark3,Trial     6_C2,95.85512,25.68458,2396.377,6.4,6
310,Vehicle,Light1,Trial     1_A1,119.6546,46.49472,2991.364,3.8,4.2
311,Vehicle,Light1,Trial     1_A2,111.46,23.53124,2786.498,17.2,18.2
312,Vehicle,Light1,Trial     1_C3,119.825,53.32755,2995.63,0,0
313,Vehicle,Light1,Trial     2_A4,136.8664,41.14382,3421.656,0.8,1.2
314,Vehicle,Light1,Trial     2_B2,118.7616,42.57122,2969.04,0.4,1
315,Vehicle,Light1,Trial     2_C3,95.6855,13.997142,2392.138,8.8,12.2
316,Vehicle,Light1,Trial     3_A2,121.899,34.1655,3047.48,0,2
317,Vehicle,Light1,Trial     3_B3,61.79728,6.929248,1544.932,5.6,5.8
318,Vehicle,Light1,Trial     4_B1,134.64528,24.39612,3366.134,5.2,4
319,Vehicle,Light1,Trial     5_B1,47.87238,3.123554,1196.81,0.2,2.2
320,Vehicle,Light1,Trial     5_B2,79.39042,22.23984,1984.76,2.2,2.2
321,Vehicle,Light1,Trial     5_B4,42.59468,2.129646,1064.8668,0.8,0.4
322,Vehicle,Light1,Trial     6_A3,53.02396,2.572236,1325.602,2,1.2
323,Vehicle,Light1,Trial     6_C1,60.27998,2.42358,1506.996,2.2,1.8
324,Vehicle,Light1,Trial     6_C2,40.15098,1.4526226,1003.775,3.4,3.4
325,Vehicle,Light2,Trial     1_A1,117.2944,60.2014,2932.358,0.2,0.4
326,Vehicle,Light2,Trial     1_A2,119.8006,80.77772,2995.01,0,0
327,Vehicle,Light2,Trial     1_C3,121.7134,65.28568,3042.834,0,0
328,Vehicle,Light2,Trial     2_A4,120.8026,40.32102,3020.06,2.4,3.8
329,Vehicle,Light2,Trial     2_B2,119.202,37.07754,2980.044,3.6,3.2
330,Vehicle,Light2,Trial     2_C3,126.5324,23.84296,3163.31,3.4,5.6
331,Vehicle,Light2,Trial     3_A2,117.5402,59.21042,2938.506,0.8,0.4
332,Vehicle,Light2,Trial     3_B3,94.35464,12.499974,2358.866,5.6,10.8
333,Vehicle,Light2,Trial     4_B1,127.07834,34.91524,3176.958,2,2.4
334,Vehicle,Light2,Trial     5_B1,51.51856,3.175044,1287.964,1.4,0.2
